source_db,table,description,rows_exported,csv_file
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Affiliation Database,eq_class_groups,eq_class_groups,199,bfx_export\Affiliation_Database\eq_class_groups.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Affiliation Database,eq_class_members,eq_class_members,160,bfx_export\Affiliation_Database\eq_class_members.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Affiliation Database,eq_classes,eq_classes,44,bfx_export\Affiliation_Database\eq_classes.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Affiliation Database,meta,meta,3,bfx_export\Affiliation_Database\meta.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Affiliation Database,psl_extensions,psl_extensions,607,bfx_export\Affiliation_Database\psl_extensions.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Conversions,aggregatable_debug_rate_limits,aggregatable_debug_rate_limits,0,bfx_export\Conversions\aggregatable_debug_rate_limits.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Conversions,dedup_keys,dedup_keys,0,bfx_export\Conversions\dedup_keys.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Conversions,meta,meta,3,bfx_export\Conversions\meta.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Conversions,os_registrations,os_registrations,0,bfx_export\Conversions\os_registrations.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Conversions,rate_limits,rate_limits,292,bfx_export\Conversions\rate_limits.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Conversions,reports,reports,0,bfx_export\Conversions\reports.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Conversions,source_destinations,source_destinations,216,bfx_export\Conversions\source_destinations.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Conversions,sources,sources,176,bfx_export\Conversions\sources.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\DIPS,bounces,bounces,260,bfx_export\DIPS\bounces.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\DIPS,config,config,1,bfx_export\DIPS\config.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\DIPS,meta,meta,3,bfx_export\DIPS\meta.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\DIPS,popups,popups,21,bfx_export\DIPS\popups.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Extension Cookies,cookies,"Browser cookies (names, values, expiry)",0,bfx_export\Extension_Cookies\cookies.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Extension Cookies,meta,meta,3,bfx_export\Extension_Cookies\meta.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Favicons,favicon_bitmaps,Favicon bitmap data,840,bfx_export\Favicons\favicon_bitmaps.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Favicons,favicons,Favicon image data (binary),420,bfx_export\Favicons\favicons.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Favicons,icon_mapping,URL to favicon mapping,4856,bfx_export\Favicons\icon_mapping.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Favicons,meta,meta,3,bfx_export\Favicons\meta.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History,cluster_keywords,cluster_keywords,698,bfx_export\History\cluster_keywords.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History,cluster_visit_duplicates,cluster_visit_duplicates,3292,bfx_export\History\cluster_visit_duplicates.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History,clusters,clusters,2140,bfx_export\History\clusters.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History,clusters_and_visits,clusters_and_visits,7269,bfx_export\History\clusters_and_visits.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History,content_annotations,content_annotations,9562,bfx_export\History\content_annotations.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History,context_annotations,context_annotations,8637,bfx_export\History\context_annotations.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History,downloads,"Download history (files, sources, times)",104,bfx_export\History\downloads.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History,downloads_slices,downloads_slices,0,bfx_export\History\downloads_slices.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History,downloads_url_chains,Download redirect chain URLs,146,bfx_export\History\downloads_url_chains.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History,history_sync_metadata,history_sync_metadata,0,bfx_export\History\history_sync_metadata.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History,keyword_search_terms,Search queries typed by user,1369,bfx_export\History\keyword_search_terms.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History,meta,meta,4,bfx_export\History\meta.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History,segment_usage,segment_usage,252,bfx_export\History\segment_usage.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History,segments,URL path segments for omnibox,127,bfx_export\History\segments.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History,urls,All visited URLs with visit counts and titles,5468,bfx_export\History\urls.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History,visit_source,"Source of each visit (typed, link, etc.)",0,bfx_export\History\visit_source.csv
C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History,visited_links,visited_links,6689,bfx_export\History\visited_links.csv
