# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Favicons
# DB Description,Website Favicons
# Table,favicon_bitmaps
# Table Description,Favicon bitmap data
# Total Rows in DB,840
# Export Timestamp,2026-04-02 09:55:54 UTC
# MD5 Hash of Source DB,e3c84f207494d7fa0eb9a69bade06c04

id,icon_id,last_updated,image_data,width,height,last_requested,last_updated__HUMAN,last_updated__FORMAT,last_requested__HUMAN,last_requested__FORMAT
1,1,13403593801937829,<BLOB 822 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-09-29 04:30:01 UTC,WebKit (Chrome),,null
2,1,13403593801937874,<BLOB 1409 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-09-29 04:30:01 UTC,WebKit (Chrome),,null
3,2,13400759346549612,<BLOB 680 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-27 09:09:06 UTC,WebKit (Chrome),,null
4,2,13400759346549715,<BLOB 787 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-27 09:09:06 UTC,WebKit (Chrome),,null
5,3,13400759356385879,<BLOB 680 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-27 09:09:16 UTC,WebKit (Chrome),,null
6,3,13400759356385950,<BLOB 787 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-27 09:09:16 UTC,WebKit (Chrome),,null
7,4,13399471240922540,<BLOB 680 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-12 11:20:40 UTC,WebKit (Chrome),,null
8,4,13399471240922606,<BLOB 787 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-12 11:20:40 UTC,WebKit (Chrome),,null
9,5,13399472024719293,<BLOB 408 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-12 11:33:44 UTC,WebKit (Chrome),,null
10,5,13399472024719333,<BLOB 841 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-12 11:33:44 UTC,WebKit (Chrome),,null
11,6,13403213326862349,<BLOB 643 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-09-24 18:48:46 UTC,WebKit (Chrome),,null
12,6,13403213326862570,<BLOB 1336 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-09-24 18:48:46 UTC,WebKit (Chrome),,null
13,7,13403109436255421,<BLOB 612 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-09-23 13:57:16 UTC,WebKit (Chrome),,null
14,7,13403109436255566,<BLOB 1099 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-09-23 13:57:16 UTC,WebKit (Chrome),,null
15,8,13402727753878266,<BLOB 680 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-09-19 03:55:53 UTC,WebKit (Chrome),,null
16,8,13402727753878314,<BLOB 787 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-09-19 03:55:53 UTC,WebKit (Chrome),,null
17,9,13399473122168716,<BLOB 680 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-12 11:52:02 UTC,WebKit (Chrome),,null
18,9,13399473122168798,<BLOB 787 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-12 11:52:02 UTC,WebKit (Chrome),,null
19,10,13399473285845854,<BLOB 819 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-12 11:54:45 UTC,WebKit (Chrome),,null
20,10,13399473285845941,<BLOB 2705 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-12 11:54:45 UTC,WebKit (Chrome),,null
21,11,13399473336018681,<BLOB 794 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-12 11:55:36 UTC,WebKit (Chrome),,null
22,11,13399473336018775,<BLOB 2749 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-12 11:55:36 UTC,WebKit (Chrome),,null
23,12,13400762796614255,<BLOB 804 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-27 10:06:36 UTC,WebKit (Chrome),,null
24,12,13400762796614328,<BLOB 1652 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-27 10:06:36 UTC,WebKit (Chrome),,null
25,13,13399474101631646,<BLOB 755 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-12 12:08:21 UTC,WebKit (Chrome),,null
26,13,13399474101631713,<BLOB 2096 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-12 12:08:21 UTC,WebKit (Chrome),,null
27,14,13403719321974716,<BLOB 608 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-09-30 15:22:01 UTC,WebKit (Chrome),,null
28,14,13403719321974906,<BLOB 778 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-09-30 15:22:01 UTC,WebKit (Chrome),,null
29,15,13403361844578343,<BLOB 643 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-09-26 12:04:04 UTC,WebKit (Chrome),,null
30,15,13403361844578411,<BLOB 1336 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-09-26 12:04:04 UTC,WebKit (Chrome),,null
31,16,13399476138571759,<BLOB 106 bytes: 89504e470d0a1a0a0000000d4948445200000010000000100802000000909168...>,16,16,0,2025-08-12 12:42:18 UTC,WebKit (Chrome),,null
32,16,13399476138571844,<BLOB 114 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200802000000fc18ed...>,32,32,0,2025-08-12 12:42:18 UTC,WebKit (Chrome),,null
33,17,13399476153217271,<BLOB 552 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-12 12:42:33 UTC,WebKit (Chrome),,null
34,17,13399476153217370,<BLOB 1057 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-12 12:42:33 UTC,WebKit (Chrome),,null
35,18,13403105122415899,<BLOB 806 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-09-23 12:45:22 UTC,WebKit (Chrome),,null
36,18,13403105122416087,<BLOB 1012 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-09-23 12:45:22 UTC,WebKit (Chrome),,null
37,19,13399476786953642,<BLOB 1011 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-12 12:53:06 UTC,WebKit (Chrome),,null
38,19,13399476786953711,<BLOB 2901 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-12 12:53:06 UTC,WebKit (Chrome),,null
39,20,13403593102435470,<BLOB 496 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-09-29 04:18:22 UTC,WebKit (Chrome),,null
40,20,13403593102435496,<BLOB 1105 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-09-29 04:18:22 UTC,WebKit (Chrome),,null
41,21,13399485735488300,<BLOB 608 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-12 15:22:15 UTC,WebKit (Chrome),,null
42,21,13399485735488788,<BLOB 778 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-12 15:22:15 UTC,WebKit (Chrome),,null
43,22,13400989442020674,<BLOB 930 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-30 01:04:02 UTC,WebKit (Chrome),,null
44,22,13400989442020699,<BLOB 2609 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-30 01:04:02 UTC,WebKit (Chrome),,null
45,23,13402727278644607,<BLOB 738 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-09-19 03:47:58 UTC,WebKit (Chrome),,null
46,23,13402727278645103,<BLOB 1824 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-09-19 03:47:58 UTC,WebKit (Chrome),,null
47,24,13401108946997128,<BLOB 857 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-31 10:15:46 UTC,WebKit (Chrome),,null
48,24,13401108946997156,<BLOB 1706 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-31 10:15:46 UTC,WebKit (Chrome),,null
49,25,13399489681085703,<BLOB 229 bytes: 89504e470d0a1a0a0000000d4948445200000010000000100802000000909168...>,16,16,0,2025-08-12 16:28:01 UTC,WebKit (Chrome),,null
