# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History
# DB Description,Browsing History & Downloads
# Table,cluster_visit_duplicates
# Table Description,cluster_visit_duplicates
# Total Rows in DB,3292
# Export Timestamp,2026-04-02 09:55:55 UTC
# MD5 Hash of Source DB,51e141f58bb3628ad263c1aeb53c797a

visit_id,duplicate_visit_id,visit_id__HUMAN,visit_id__FORMAT,duplicate_visit_id__HUMAN,duplicate_visit_id__FORMAT
1,2,,unknown,,unknown
3,75,,unknown,,unknown
6,8,,unknown,,unknown
6,10,,unknown,,unknown
6,11,,unknown,,unknown
6,12,,unknown,,unknown
6,67,,unknown,,unknown
6,68,,unknown,,unknown
6,69,,unknown,,unknown
6,71,,unknown,,unknown
6,72,,unknown,,unknown
6,73,,unknown,,unknown
6,74,,unknown,,unknown
7,15,,unknown,,unknown
9,14,,unknown,,unknown
9,16,,unknown,,unknown
9,17,,unknown,,unknown
18,21,,unknown,,unknown
23,53,,unknown,,unknown
23,55,,unknown,,unknown
24,49,,unknown,,unknown
56,57,,unknown,,unknown
58,60,,unknown,,unknown
58,79,,unknown,,unknown
58,81,,unknown,,unknown
58,82,,unknown,,unknown
59,80,,unknown,,unknown
62,64,,unknown,,unknown
62,65,,unknown,,unknown
76,77,,unknown,,unknown
76,78,,unknown,,unknown
87,88,,unknown,,unknown
91,106,,unknown,,unknown
92,94,,unknown,,unknown
92,103,,unknown,,unknown
108,110,,unknown,,unknown
108,112,,unknown,,unknown
108,113,,unknown,,unknown
117,118,,unknown,,unknown
119,125,,unknown,,unknown
127,130,,unknown,,unknown
127,131,,unknown,,unknown
127,132,,unknown,,unknown
127,133,,unknown,,unknown
127,134,,unknown,,unknown
127,135,,unknown,,unknown
127,136,,unknown,,unknown
128,129,,unknown,,unknown
144,146,,unknown,,unknown
149,150,,unknown,,unknown
151,152,,unknown,,unknown
151,153,,unknown,,unknown
151,154,,unknown,,unknown
151,155,,unknown,,unknown
151,156,,unknown,,unknown
151,159,,unknown,,unknown
151,160,,unknown,,unknown
161,193,,unknown,,unknown
162,194,,unknown,,unknown
184,187,,unknown,,unknown
185,188,,unknown,,unknown
199,201,,unknown,,unknown
199,206,,unknown,,unknown
199,209,,unknown,,unknown
202,203,,unknown,,unknown
202,204,,unknown,,unknown
202,205,,unknown,,unknown
202,210,,unknown,,unknown
212,214,,unknown,,unknown
212,217,,unknown,,unknown
218,220,,unknown,,unknown
218,221,,unknown,,unknown
218,222,,unknown,,unknown
218,223,,unknown,,unknown
230,231,,unknown,,unknown
230,239,,unknown,,unknown
230,240,,unknown,,unknown
242,245,,unknown,,unknown
250,251,,unknown,,unknown
250,252,,unknown,,unknown
256,258,,unknown,,unknown
256,262,,unknown,,unknown
256,266,,unknown,,unknown
257,267,,unknown,,unknown
257,268,,unknown,,unknown
257,269,,unknown,,unknown
257,273,,unknown,,unknown
257,274,,unknown,,unknown
260,261,,unknown,,unknown
263,264,,unknown,,unknown
263,265,,unknown,,unknown
271,272,,unknown,,unknown
276,277,,unknown,,unknown
276,278,,unknown,,unknown
276,279,,unknown,,unknown
276,280,,unknown,,unknown
276,283,,unknown,,unknown
276,284,,unknown,,unknown
276,285,,unknown,,unknown
276,286,,unknown,,unknown
276,288,,unknown,,unknown
276,289,,unknown,,unknown
276,290,,unknown,,unknown
276,301,,unknown,,unknown
276,302,,unknown,,unknown
276,303,,unknown,,unknown
276,304,,unknown,,unknown
276,307,,unknown,,unknown
276,308,,unknown,,unknown
276,309,,unknown,,unknown
276,310,,unknown,,unknown
276,311,,unknown,,unknown
276,313,,unknown,,unknown
282,295,,unknown,,unknown
282,296,,unknown,,unknown
282,297,,unknown,,unknown
282,298,,unknown,,unknown
282,299,,unknown,,unknown
282,300,,unknown,,unknown
292,293,,unknown,,unknown
292,294,,unknown,,unknown
306,312,,unknown,,unknown
318,321,,unknown,,unknown
319,322,,unknown,,unknown
323,332,,unknown,,unknown
323,334,,unknown,,unknown
325,326,,unknown,,unknown
325,327,,unknown,,unknown
325,328,,unknown,,unknown
325,329,,unknown,,unknown
325,330,,unknown,,unknown
325,331,,unknown,,unknown
325,342,,unknown,,unknown
343,345,,unknown,,unknown
343,346,,unknown,,unknown
343,348,,unknown,,unknown
350,351,,unknown,,unknown
353,354,,unknown,,unknown
375,376,,unknown,,unknown
375,377,,unknown,,unknown
383,384,,unknown,,unknown
383,385,,unknown,,unknown
405,406,,unknown,,unknown
405,407,,unknown,,unknown
405,408,,unknown,,unknown
422,423,,unknown,,unknown
437,456,,unknown,,unknown
457,459,,unknown,,unknown
457,486,,unknown,,unknown
460,469,,unknown,,unknown
460,474,,unknown,,unknown
461,462,,unknown,,unknown
461,463,,unknown,,unknown
461,464,,unknown,,unknown
461,466,,unknown,,unknown
461,467,,unknown,,unknown
461,468,,unknown,,unknown
470,471,,unknown,,unknown
470,472,,unknown,,unknown
470,473,,unknown,,unknown
475,476,,unknown,,unknown
475,477,,unknown,,unknown
475,478,,unknown,,unknown
479,480,,unknown,,unknown
483,484,,unknown,,unknown
488,489,,unknown,,unknown
488,490,,unknown,,unknown
488,491,,unknown,,unknown
488,492,,unknown,,unknown
488,493,,unknown,,unknown
499,500,,unknown,,unknown
517,523,,unknown,,unknown
517,560,,unknown,,unknown
519,525,,unknown,,unknown
522,528,,unknown,,unknown
522,542,,unknown,,unknown
569,575,,unknown,,unknown
571,572,,unknown,,unknown
577,586,,unknown,,unknown
579,585,,unknown,,unknown
581,582,,unknown,,unknown
588,596,,unknown,,unknown
590,593,,unknown,,unknown
591,595,,unknown,,unknown
597,601,,unknown,,unknown
597,605,,unknown,,unknown
599,600,,unknown,,unknown
602,603,,unknown,,unknown
602,604,,unknown,,unknown
607,608,,unknown,,unknown
611,612,,unknown,,unknown
617,618,,unknown,,unknown
620,621,,unknown,,unknown
620,622,,unknown,,unknown
620,623,,unknown,,unknown
625,626,,unknown,,unknown
625,628,,unknown,,unknown
