# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Affiliation Database
# DB Description,Credential Affiliations
# Table,psl_extensions
# Table Description,psl_extensions
# Total Rows in DB,607
# Export Timestamp,2026-04-02 09:55:54 UTC
# MD5 Hash of Source DB,98f842308ecd3f8294f4be9e56674791

domain,domain__DOMAIN,domain__CATEGORY
app.link,app.link,Other
bttn.io,bttn.io,Other
test-app.link,test-app.link,Other
smart.link,smart.link,Other
page.link,page.link,Other
onelink.me,onelink.me,Other
open-in.app,open-in.app,Other
on-app.in,on-app.in,Other
fanapp.link,fanapp.link,Other
tlnk.io,tlnk.io,Other
goo.gl,goo.gl,Other
app.goo.gl,app.goo.gl,Other
slack.com,slack.com,Other
okta.com,okta.com,Other
auth0.com,auth0.com,Other
zendesk.com,zendesk.com,Other
myworkdayjobs.com,myworkdayjobs.com,Other
taleo.net,taleo.net,Other
gupy.io,gupy.io,Other
hotmart.com,hotmart.com,Other
force.com,force.com,Other
microsoftonline.com,microsoftonline.com,Other
prf.hn,prf.hn,Other
site.com,site.com,Other
my.site.com,my.site.com,Other
windows.net,windows.net,Other
core.windows.net,core.windows.net,Other
web.core.windows.net,web.core.windows.net,Other
azure.net,azure.net,Other
oclc.org,oclc.org,Other
idm.oclc.org,idm.oclc.org,Other
attractions.io,attractions.io,Other
app.attractions.io,app.attractions.io,Other
aio.zone,aio.zone,Other
prod.aio.zone,prod.aio.zone,Other
app.prod.aio.zone,app.prod.aio.zone,Other
applinks.guidebook.com,applinks.guidebook.com,Other
guidebook.com,guidebook.com,Other
branded.wix.app,branded.wix.app,Other
wix.app,wix.app,Other
b2clogin.com,b2clogin.com,Other
retail.cedacri.it,retail.cedacri.it,Other
cedacri.it,cedacri.it,Other
ca.gov,ca.gov,Other
faa.gov,faa.gov,Other
tfl.gov.uk,tfl.gov.uk,Other
1password.com,1password.com,Other
1password.eu,1password.eu,Other
1password.ca,1password.ca,Other
b5test.com,b5test.com,Other
b5test.eu,b5test.eu,Other
b5test.ca,b5test.ca,Other
